word,written_freq,spoken_freq,zhuyin,pinyin,tags
"['臺灣人', '台灣人']",5,11,['ㄊㄞˊ ㄨㄢ ㄖㄣˊ'],['táiwānrén'],"level-1, basic, context-personal-info"
['天'],1520,1616,['ㄊㄧㄢ'],['tiān'],"level-1, basic, context-core"
['聽'],615,409,['ㄊㄧㄥ'],['tīng'],"level-1, basic, context-core"
['同學'],106,267,['ㄊㄨㄥˊ ㄒㄩㄝˊ'],['tóngxué'],"level-1, basic, context-core"
['外'],388,298,['ㄨㄞˋ'],['wài'],"level-1, basic, context-core"
['晚安'],7,6,['ㄨㄢˇ ㄢ'],"[""wǎn'ān""]","level-1, basic, context-core"
['晚上'],189,188,['ㄨㄢˇ ㄕㄤˋ'],['wǎnshàng'],"level-1, basic, context-core"
['位'],1145,1031,['ㄨㄟˋ'],['wèi'],"level-1, basic, context-core"
['問'],694,451,['ㄨㄣˋ'],['wèn'],"level-1, basic, context-core"
['問題'],1138,1105,['ㄨㄣˋ ㄊㄧˊ'],['wèntí'],"level-1, basic, context-core"
['我'],13149,16244,['ㄨㄛˇ'],['wǒ'],"level-1, basic, context-core"
['我們'],4150,12537,['ㄨㄛˇ ˙ㄇㄣ'],['wǒmen'],"level-1, basic, context-core"
['五'],444,360,['ㄨˇ'],['wǔ'],"level-1, basic, context-core"
['想'],1876,2025,['ㄒㄧㄤˇ'],['xiǎng'],"level-1, basic, context-core"
['先生'],862,274,['ㄒㄧㄢ ㄕㄥ'],['xiānshēng'],"level-1, basic, context-core"
['現在'],884,2365,['ㄒㄧㄢˋ ㄗㄞˋ'],['xiànzài'],"level-1, basic, context-core"
['小'],1281,1334,['ㄒㄧㄠˇ'],['xiǎo'],"level-1, basic, context-core"
"['小孩', '小孩子']",240,547,"['ㄒㄧㄠˇ ㄏㄞˊ', 'ㄒㄧㄠˇ ㄏㄞˊ ˙ㄗ']","['xiǎohái', 'xiǎoháizi']","level-1, basic, context-core"
['小姐'],273,50,['ㄒㄧㄠˇ ㄐㄧㄝˇ'],['xiǎojiě'],"level-1, basic, context-core"
['小時'],227,228,['ㄒㄧㄠˇ ㄕˊ'],['xiǎoshí'],"level-1, basic, context-core"
['下午'],83,64,['ㄒㄧㄚˋ ㄨˇ'],['xiàwǔ'],"level-1, basic, context-core"
['寫'],473,410,['ㄒㄧㄝˇ'],['xiě'],"level-1, basic, context-core"
['謝謝'],63,593,['ㄒㄧㄝˋ ˙ㄒㄧㄝ'],['xièxie'],"level-1, basic, context-core"
['喜歡'],494,577,['ㄒㄧˇ ㄏㄨㄢ'],['xǐhuān'],"level-1, basic, context-core"
['新'],822,686,['ㄒㄧㄣ'],['xīn'],"level-1, basic, context-core"
['姓名'],22,3,['ㄒㄧㄥˋ ㄇㄧㄥˊ'],['xìngmíng'],"level-1, basic, context-core"
"['星期天', '星期日']",17,10,"['ㄒㄧㄥ ㄑㄧˊ ㄊㄧㄢ', 'ㄒㄧㄥ ㄑㄧˊ ㄖˋ']","['xīngqítiān', 'xīngqírì']","level-1, basic, context-core"
['星期一'],10,8,['ㄒㄧㄥ ㄑㄧˊ ㄧ'],['xīngqíyī'],"level-1, basic, context-core"
['學'],206,359,['ㄒㄩㄝˊ'],['xué'],"level-1, basic, context-core"
['學生'],418,303,['ㄒㄩㄝˊ ㄕㄥ'],['xuéshēng'],"level-1, basic, context-core"
['學校'],303,497,['ㄒㄩㄝˊ ㄒㄧㄠˋ'],['xuéxiào'],"level-1, basic, context-education-learning"
['要'],3541,7742,['ㄧㄠˋ'],['yào'],"level-1, basic, context-core"
['也'],6312,7341,['ㄧㄝˇ'],['yě'],"level-1, basic, context-core"
['一'],15058,16040,['ㄧ'],['yī'],"level-1, basic, context-core"
['一起'],337,718,['ㄧˋ ㄑㄧˇ'],['yìqǐ'],"level-1, basic, context-core"
['一月'],40,13,['ㄧ ㄩㄝˋ'],['yīyuè'],"level-1, basic, context-core"
"['醫生', '醫師']",360,372,"['ㄧ ㄕㄥ', 'ㄧ ㄕ']","['yīshēng', 'yīshī']","level-1, basic, context-health-medical"
['英文'],59,65,['ㄧㄥ ㄨㄣˊ'],['yīngwén'],"level-1, basic, context-education-learning"
['用'],1521,2223,['ㄩㄥˋ'],['yòng'],"level-1, basic, context-core"
['有'],8990,12724,['ㄧㄡˇ'],['yǒu'],"level-1, basic, context-core"
['元'],220,122,['ㄩㄢˊ'],['yuán'],"level-1, basic, context-core"
['月'],463,737,['ㄩㄝˋ'],['yuè'],"level-1, basic, context-core"
['再見'],19,27,['ㄗㄞˋ ㄐㄧㄢˋ'],['zàijiàn'],"level-1, basic, context-core"
['早'],248,240,['ㄗㄠˇ'],['zǎo'],"level-1, basic, context-core"
['早安'],6,4,['ㄗㄠˇ ㄢ'],['zǎoān'],"level-1, basic, context-core"
['早上'],103,130,['ㄗㄠˇ ㄕㄤˋ'],['zǎoshàng'],"level-1, basic, context-core"
['怎麼'],570,1269,['ㄗㄣˇ ˙ㄇㄜ'],['zěnme'],"level-1, basic, context-core"
['找'],489,477,['ㄓㄠˇ'],['zhǎo'],"level-1, basic, context-core"
"['這', '這裡', '這裏', '這兒']",8975,15872,"['ㄓㄜˋ', 'ㄓㄜˋ ㄌㄧˇ', 'ㄓㄜˋ ㄦ']","['zhè', 'zhèlǐ', 'zhèlǐ', 'zhèr']","level-1, basic, context-core"
['知道'],1488,1666,['ㄓ ㄉㄠˋ'],['zhīdào'],"level-1, basic, context-core"
['中文'],36,38,['ㄓㄨㄥ ㄨㄣˊ'],['zhōngwén'],"level-1, basic, context-core"
['中午'],30,41,['ㄓㄨㄥ ㄨˇ'],['zhōngwǔ'],"level-1, basic, context-core"
['字'],284,171,['ㄗˋ'],['zì'],"level-1, basic, context-core"
['走'],545,643,['ㄗㄡˇ'],['zǒu'],"level-1, basic, context-core"
['做'],1808,3593,['ㄗㄨㄛˋ'],['zuò'],"level-1, basic, context-core"
['坐'],406,240,['ㄗㄨㄛˋ'],['zuò'],"level-1, basic, context-core"
['昨天'],53,84,['ㄗㄨㄛˊ ㄊㄧㄢ'],['zuótiān'],"level-1, basic, context-core"
['矮'],29,13,['ㄞˇ'],['ǎi'],"level-1-star, basic, context-core"
['白'],208,167,['ㄅㄞˊ'],['bái'],"level-1-star, basic, context-core"
['飽'],17,38,['ㄅㄠˇ'],['bǎo'],"level-1-star, basic, context-core"
['包子'],4,2,['ㄅㄠ ˙ㄗ'],['bāozi'],"level-1-star, basic, context-food-dining"
"['杯子', '杯']",108,118,"['ㄅㄟ ˙ㄗ', 'ㄅㄟ']","['bēizi', 'bēi']","level-1-star, basic, context-core"
"['鼻子', '鼻']",69,31,"['ㄅㄧˊ ˙ㄗ', 'ㄅㄧˊ']","['bízi', 'bí']","level-1-star, basic, context-core"
['筆'],123,82,['ㄅㄧˇ'],['bǐ'],"level-1-star, basic, context-core"
['比'],728,555,['ㄅㄧˇ'],['bǐ'],"level-1-star, basic, context-core"
['邊'],515,454,['ㄅㄧㄢ'],['biān'],"level-1-star, basic, context-core"
['別'],306,142,['ㄅㄧㄝˊ'],['bié'],"level-1-star, basic, context-core"
['冰'],31,105,['ㄅㄧㄥ'],['bīng'],"level-1-star, basic, context-food-dining"
['病'],131,149,['ㄅㄧㄥˋ'],['bìng'],"level-1-star, basic, context-health-medical"
