"id","word","written_freq","spoken_freq","zhuyin","pinyin","tags"
73,"妹妹/妹",95,83,"ㄇㄟˋ ˙ㄇㄟ / ㄇㄟˋ","mèimei / mèi","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
74,"沒有",2443,3355,"ㄇㄟˊ ㄧㄡˇ","méiyǒu","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
75,"們",560,623,"˙ㄇㄣ","men","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
76,"名字",182,111,"ㄇㄧㄥˊ ˙ㄗ","míng zi","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
77,"明天",78,131,"ㄇㄧㄥˊ ㄊㄧㄢ","míngtiān","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
78,"拿",298,343,"ㄋㄚˊ","ná","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
79,"哪1",275,382,"ㄋㄚˇ","nǎ","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
80,"哪裡/哪裏/哪兒",221,307,"ㄋㄚˇ ㄌㄧˇ / ㄋㄚˇ ㄌㄧˇ / ㄋㄚˇ ㄦ","nǎlǐ / nǎlǐ / nǎr","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
81,"那/那裡/那裏/那兒",3314,9035,"ㄋㄚˋ / ㄋㄚˋ ㄌㄧˇ / ㄋㄚˋ ㄦ","nà / nàlǐ / nàr","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
82,"難1",307,415,"ㄋㄢˊ","nán","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
83,"呢",800,1792,"˙ㄋㄜ","ne","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
84,"你",5891,8736,"ㄋㄧˇ","nǐ","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
85,"妳",463,1653,"ㄋㄧˇ","nǐ","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
86,"你們",409,1299,"ㄋㄧˇ ˙ㄇㄣ","nǐmen","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
87,"年",1952,2976,"ㄋㄧㄢˊ","nián","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
88,"您",347,764,"ㄋㄧㄣˊ","nín","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
89,"女兒",220,168,"ㄋㄩˇ ㄦˊ","nǚér","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-personal-info"
90,"朋友",445,464,"ㄆㄥˊ ㄧㄡˇ","péngyǒu","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
91,"七",240,151,"ㄑㄧ","qī","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
92,"前",1041,807,"ㄑㄧㄢˊ","qián","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
93,"錢",365,489,"ㄑㄧㄢˊ","qián","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
94,"千",70,75,"ㄑㄧㄢ","qiān","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
95,"請",488,447,"ㄑㄧㄥˇ","qǐng","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
96,"請問",24,94,"ㄑㄧㄥˇ ㄨㄣˋ","qǐngwèn","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
97,"去",2059,4057,"ㄑㄩˋ","qù","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
98,"去年",36,126,"ㄑㄩˋ ㄋㄧㄢˊ","qùnián","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
99,"熱",87,262,"ㄖㄜˋ","rè","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
